year,temp_mean_c,temp_max_c,precip_total_mm,precip_days,humidity_mean,wind_mean_ms,solar_mean_mj,n_cities
2010,20.996544520547946,31.78,9954.52,1631,72.48408561643835,2.3950342465753423,20.603133561643837,8
2011,21.11463698630137,31.8,10128.09,1639,70.4883698630137,2.320904109589041,20.995407534246574,8
2012,20.894593579234975,31.55,10281.85,1524,70.88697404371585,2.3776195355191256,21.215443989071037,8
2013,20.876643835616438,32.24,9387.16,1526,72.73673287671234,2.3191883561643833,20.833880136986302,8
2014,21.213996575342467,31.75,8190.24,1475,71.10904452054794,2.3464143835616436,20.94460616438356,8
2015,21.454229452054793,31.56,10577.09,1459,69.56600684931506,2.379883561643836,21.347421232876712,8
2016,21.358244535519127,33.48,8299.03,1252,70.4720150273224,2.448558743169399,20.996567622950817,8
2017,21.488832191780823,32.26,10238.77,1341,69.34001369863013,2.5282191780821917,21.575599315068494,8
2018,20.661404109589043,32.09,13427.25,1556,74.23308561643834,2.327876712328767,20.427794520547945,8
2019,21.450825342465755,32.72,13493.26,1518,72.33875342465754,2.360150684931507,21.05382876712329,8
2020,20.735573770491804,31.24,15782.33,1738,76.85331625683061,2.2811338797814207,20.52617144808743,8
2021,21.031390410958906,31.76,9203.75,1408,71.86374657534247,2.4666575342465755,20.667804794520546,8
2022,21.05320205479452,31.73,9716.21,1363,70.56973972602741,2.397318493150685,20.600236301369865,8
2023,21.228383561643835,31.7,13909.65,1602,73.20333904109589,2.369130136986301,20.846027397260276,8
2024,21.35904713114754,32.32,14217.68,1589,75.05784494535519,2.2313900273224045,20.351051912568305,8
