city,latitude,longitude,year,month,temp_mean_c,temp_min_c,temp_max_c,temp_range_c,precip_total_mm,precip_days,precip_max_day,humidity_mean,wind_mean_ms,solar_mean_mj
eldoret,0.52,35.27,2010,1,18.68,16.4,20.23,3.83,102.02,18,26.34,68.17,2.82,22.96
eldoret,0.52,35.27,2010,2,19.88,17.46,21.35,3.89,162.66,24,36.26,69.91,2.48,21.49
eldoret,0.52,35.27,2010,3,19.39,17.78,20.9,3.12,204.49,29,19.97,77.2,2.55,22.22
eldoret,0.52,35.27,2010,4,19.66,17.99,21.39,3.4,284.48,29,20.89,79.49,1.79,22.35
eldoret,0.52,35.27,2010,5,19.02,17.4,20.26,2.86,302.99,31,29.23,82.86,0.99,20.47
eldoret,0.52,35.27,2010,6,18.33,17.14,19.62,2.48,108.88,30,7.79,81.89,0.75,19.57
eldoret,0.52,35.27,2010,7,17.45,15.97,18.69,2.72,158.45,26,15.77,82.51,1.07,17.63
eldoret,0.52,35.27,2010,8,17.8,16.18,19.3,3.12,135.13,31,17.0,81.14,1.13,18.91
eldoret,0.52,35.27,2010,9,18.58,16.98,19.32,2.34,189.35,30,17.94,79.11,0.81,21.93
eldoret,0.52,35.27,2010,10,18.78,17.33,20.03,2.7,192.77,31,20.27,79.07,1.31,21.59
eldoret,0.52,35.27,2010,11,18.48,17.8,19.09,1.29,99.92,28,12.45,78.82,2.53,21.96
eldoret,0.52,35.27,2010,12,18.14,16.89,19.1,2.21,41.04,25,6.08,70.78,2.29,22.77
eldoret,0.52,35.27,2011,1,18.99,17.88,20.69,2.81,14.89,15,2.61,62.69,2.62,23.96
eldoret,0.52,35.27,2011,2,20.25,18.79,21.2,2.41,29.13,14,8.49,54.42,2.55,25.52
eldoret,0.52,35.27,2011,3,20.48,17.7,22.15,4.45,185.06,23,22.6,64.86,2.1,24.2
eldoret,0.52,35.27,2011,4,20.43,17.92,21.8,3.88,203.21,24,33.88,68.74,2.15,23.52
eldoret,0.52,35.27,2011,5,19.03,16.57,20.06,3.49,284.1,31,23.86,80.61,0.88,21.5
eldoret,0.52,35.27,2011,6,17.82,15.79,19.4,3.61,163.34,30,11.68,84.92,0.99,18.84
eldoret,0.52,35.27,2011,7,17.84,16.34,19.44,3.1,126.1,30,16.31,79.99,0.91,19.56
eldoret,0.52,35.27,2011,8,17.4,16.21,18.75,2.54,260.35,31,37.69,83.87,1.13,18.62
eldoret,0.52,35.27,2011,9,18.26,16.59,19.87,3.28,168.48,30,15.28,80.7,0.98,21.13
eldoret,0.52,35.27,2011,10,18.64,17.18,19.6,2.42,249.06,31,28.56,80.15,1.52,21.92
eldoret,0.52,35.27,2011,11,17.75,16.55,18.67,2.12,367.56,30,38.82,85.33,1.6,18.9
eldoret,0.52,35.27,2011,12,17.44,16.07,18.73,2.66,59.75,27,31.57,79.22,2.38,22.41
eldoret,0.52,35.27,2012,1,17.63,15.59,18.43,2.84,2.15,4,0.6,66.01,2.69,26.1
eldoret,0.52,35.27,2012,2,18.84,16.64,19.99,3.35,28.91,9,9.38,64.19,3.23,25.49
eldoret,0.52,35.27,2012,3,20.25,18.51,22.31,3.8,38.26,12,13.41,60.4,2.41,25.37
eldoret,0.52,35.27,2012,4,18.83,15.92,20.82,4.9,426.14,30,53.81,79.98,1.41,19.63
eldoret,0.52,35.27,2012,5,18.47,16.73,19.68,2.95,297.58,30,28.18,82.27,0.89,21.46
eldoret,0.52,35.27,2012,6,17.64,15.47,19.35,3.88,207.06,30,23.08,83.81,0.88,18.52
eldoret,0.52,35.27,2012,7,16.99,15.94,17.98,2.04,112.33,31,12.17,84.98,1.25,17.35
eldoret,0.52,35.27,2012,8,17.51,16.59,18.53,1.94,201.27,31,16.07,82.62,1.07,19.47
eldoret,0.52,35.27,2012,9,18.26,17.0,19.15,2.15,218.41,30,21.21,79.49,0.92,22.31
eldoret,0.52,35.27,2012,10,18.58,16.72,19.29,2.57,208.17,31,21.4,79.52,1.84,22.31
eldoret,0.52,35.27,2012,11,18.39,17.61,19.32,1.71,268.32,27,57.35,82.63,1.92,22.0
eldoret,0.52,35.27,2012,12,18.22,17.04,19.13,2.09,151.03,30,25.93,81.24,2.48,20.32
eldoret,0.52,35.27,2013,1,18.57,17.2,19.47,2.27,48.87,20,19.36,74.97,2.64,23.01
eldoret,0.52,35.27,2013,2,19.34,17.78,20.69,2.91,14.55,9,4.24,67.06,2.81,24.68
eldoret,0.52,35.27,2013,3,20.31,18.35,21.43,3.08,197.66,24,32.4,71.72,2.09,22.69
eldoret,0.52,35.27,2013,4,18.87,17.32,19.74,2.42,397.36,30,52.83,83.13,1.13,21.24
eldoret,0.52,35.27,2013,5,18.77,17.04,19.84,2.8,215.78,30,36.34,80.38,0.83,22.48
eldoret,0.52,35.27,2013,6,17.92,16.7,18.91,2.21,78.97,30,5.99,83.07,0.88,18.29
eldoret,0.52,35.27,2013,7,17.16,15.7,18.5,2.8,98.37,30,9.67,80.31,1.09,19.64
eldoret,0.52,35.27,2013,8,17.5,16.17,18.8,2.63,204.26,31,17.85,83.34,1.03,19.59
eldoret,0.52,35.27,2013,9,18.51,16.66,19.92,3.26,202.76,30,23.04,79.31,0.97,22.33
eldoret,0.52,35.27,2013,10,18.58,17.62,19.31,1.69,149.22,31,15.62,78.95,1.44,22.84
eldoret,0.52,35.27,2013,11,18.41,16.99,19.5,2.51,137.77,29,19.02,81.31,2.31,20.72
eldoret,0.52,35.27,2013,12,18.12,17.01,19.1,2.09,94.03,28,25.95,77.31,2.3,20.47
eldoret,0.52,35.27,2014,1,19.01,17.72,19.99,2.27,9.7,14,2.02,66.73,2.57,24.48
eldoret,0.52,35.27,2014,2,19.82,18.49,20.63,2.14,49.64,21,11.33,66.93,2.2,22.03
eldoret,0.52,35.27,2014,3,20.4,16.54,22.2,5.66,131.49,19,55.75,66.51,2.59,23.35
eldoret,0.52,35.27,2014,4,20.32,19.24,21.88,2.64,88.11,23,14.49,71.39,1.93,23.11
eldoret,0.52,35.27,2014,5,19.43,18.03,21.1,3.07,227.95,30,26.71,79.4,0.92,21.11
eldoret,0.52,35.27,2014,6,18.57,17.2,19.89,2.69,132.55,30,19.11,80.12,0.81,20.05
eldoret,0.52,35.27,2014,7,17.91,16.53,19.14,2.61,130.11,31,13.76,81.24,1.01,18.6
eldoret,0.52,35.27,2014,8,17.53,16.1,19.49,3.39,160.75,31,15.05,82.62,0.91,19.48
eldoret,0.52,35.27,2014,9,18.76,16.58,20.0,3.42,146.68,26,19.09,77.27,0.83,22.94
eldoret,0.52,35.27,2014,10,18.75,16.96,19.95,2.99,283.7,30,35.98,80.39,1.27,22.37
eldoret,0.52,35.27,2014,11,18.6,17.33,19.53,2.2,128.73,30,12.98,80.73,2.14,21.29
eldoret,0.52,35.27,2014,12,18.31,16.72,19.08,2.36,70.61,28,13.71,74.26,2.69,22.42
eldoret,0.52,35.27,2015,1,18.57,16.75,19.72,2.97,2.37,6,1.25,57.27,2.39,24.9
eldoret,0.52,35.27,2015,2,21.03,18.83,21.85,3.02,29.42,9,12.58,55.29,2.59,25.02
eldoret,0.52,35.27,2015,3,21.79,19.6,23.65,4.05,61.61,16,12.73,51.56,3.45,25.52
eldoret,0.52,35.27,2015,4,19.32,17.21,21.64,4.43,289.62,28,55.92,79.08,1.29,21.31
eldoret,0.52,35.27,2015,5,18.95,17.15,20.21,3.06,336.24,31,44.18,82.01,0.94,21.26
eldoret,0.52,35.27,2015,6,18.14,16.93,19.44,2.51,271.56,30,36.5,83.7,0.9,18.8
eldoret,0.52,35.27,2015,7,18.18,16.62,19.73,3.11,139.39,24,22.22,79.49,1.0,20.62
eldoret,0.52,35.27,2015,8,18.88,17.57,19.88,2.31,130.09,31,21.63,76.1,0.81,22.51
eldoret,0.52,35.27,2015,9,19.47,16.42,20.49,4.07,139.84,30,21.63,74.29,0.84,23.14
eldoret,0.52,35.27,2015,10,19.6,18.57,20.54,1.97,169.37,28,16.98,77.34,1.43,21.56
eldoret,0.52,35.27,2015,11,18.67,17.6,19.63,2.03,357.77,30,73.85,83.45,1.67,20.15
eldoret,0.52,35.27,2015,12,18.43,17.19,19.6,2.41,137.94,28,34.96,80.59,2.27,21.56
eldoret,0.52,35.27,2016,1,19.03,18.18,19.84,1.66,78.13,28,20.92,76.9,2.12,20.55
eldoret,0.52,35.27,2016,2,19.69,18.18,21.12,2.94,13.82,12,3.82,66.3,2.74,24.1
eldoret,0.52,35.27,2016,3,21.39,19.22,22.93,3.71,62.85,21,15.19,66.11,2.56,25.04
eldoret,0.52,35.27,2016,4,19.99,17.35,21.34,3.99,386.33,30,52.41,80.58,1.35,21.09
eldoret,0.52,35.27,2016,5,18.73,17.19,19.97,2.78,263.61,31,49.89,83.61,1.02,20.88
eldoret,0.52,35.27,2016,6,18.03,15.87,19.63,3.76,175.24,29,25.04,79.94,1.03,19.87
eldoret,0.52,35.27,2016,7,17.46,16.6,18.28,1.68,262.78,31,36.15,84.25,1.16,18.51
eldoret,0.52,35.27,2016,8,17.97,16.27,19.06,2.79,154.89,30,19.34,78.89,1.02,20.59
eldoret,0.52,35.27,2016,9,18.65,17.74,19.42,1.68,207.36,30,37.98,78.91,0.95,22.79
eldoret,0.52,35.27,2016,10,18.96,17.9,19.7,1.8,99.21,31,38.62,76.44,1.55,23.64
eldoret,0.52,35.27,2016,11,18.55,17.36,19.68,2.32,104.01,29,19.66,79.05,2.57,20.71
eldoret,0.52,35.27,2016,12,18.5,17.43,19.64,2.21,12.33,18,2.72,73.02,3.44,22.49
eldoret,0.52,35.27,2017,1,19.22,17.57,20.8,3.23,54.06,8,28.7,59.05,3.08,25.09
eldoret,0.52,35.27,2017,2,20.34,19.14,21.53,2.39,84.91,19,14.22,63.97,2.88,24.44
eldoret,0.52,35.27,2017,3,21.21,18.69,22.5,3.81,109.34,25,31.42,63.16,2.16,25.46
eldoret,0.52,35.27,2017,4,20.7,17.58,22.81,5.23,139.8,24,24.49,68.96,2.16,23.38
eldoret,0.52,35.27,2017,5,19.19,17.65,20.44,2.79,293.15,31,34.19,79.86,1.05,20.93
eldoret,0.52,35.27,2017,6,18.96,17.01,20.22,3.21,137.55,30,17.36,77.97,0.76,21.18
eldoret,0.52,35.27,2017,7,17.58,16.72,18.47,1.75,267.1,31,25.67,83.83,1.02,18.17
eldoret,0.52,35.27,2017,8,18.06,16.77,19.85,3.08,310.31,31,30.09,81.66,0.94,20.16
eldoret,0.52,35.27,2017,9,18.46,16.94,19.55,2.61,403.69,30,38.39,81.7,0.95,21.25
eldoret,0.52,35.27,2017,10,18.73,17.09,19.72,2.63,217.17,29,60.36,81.22,1.58,22.1
eldoret,0.52,35.27,2017,11,18.1,17.0,19.09,2.09,200.15,29,40.55,82.29,2.5,21.71
eldoret,0.52,35.27,2017,12,17.99,16.99,19.22,2.23,21.23,13,11.54,73.97,3.06,23.92
eldoret,0.52,35.27,2018,1,18.27,17.32,19.72,2.4,15.25,12,3.15,67.87,1.8,22.27
eldoret,0.52,35.27,2018,2,20.15,18.4,21.57,3.17,36.89,14,14.49,62.43,3.04,25.51
eldoret,0.52,35.27,2018,3,18.93,17.16,20.93,3.77,267.5,31,45.0,79.72,1.81,19.25
eldoret,0.52,35.27,2018,4,18.23,16.65,20.12,3.47,460.75,30,57.49,85.02,1.22,18.41
eldoret,0.52,35.27,2018,5,18.26,16.29,19.8,3.51,524.34,31,51.48,85.64,0.96,20.41
eldoret,0.52,35.27,2018,6,17.48,15.95,18.73,2.78,365.69,30,36.58,87.3,1.03,17.88
eldoret,0.52,35.27,2018,7,17.14,16.42,18.2,1.78,272.9,31,25.64,86.47,0.89,18.21
eldoret,0.52,35.27,2018,8,17.55,16.14,18.58,2.44,268.11,30,23.49,82.73,0.92,19.79
eldoret,0.52,35.27,2018,9,18.95,17.31,19.96,2.65,140.2,30,47.53,74.7,1.02,24.21
eldoret,0.52,35.27,2018,10,18.73,17.65,19.8,2.15,137.18,30,16.78,79.22,1.56,22.38
eldoret,0.52,35.27,2018,11,19.02,17.75,19.61,1.86,86.09,27,14.66,79.45,2.69,22.36
