year,agricultural_precipitation_mm,health_expenditure_pct_gdp,malaria_incidence_per_1000,population_total,urban_population_pct,estimated_incidence_per_1000_at_risk,estimated_malaria_cases,estimated_malaria_deaths,temp_mean_c,temp_max_c,precip_total_mm,precip_days,humidity_mean,wind_mean_ms,solar_mean_mj,n_cities
2000,692.0,3.62451434,220.26,30642890.0,19.4553832211834,220.2574561,6749325.0,11766.0,,,,,,,,
2001,630.0,3.74002314,243.23,31619170.0,20.4416297068833,243.2262453,7690612.0,13613.0,,,,,,,,
2002,630.0,3.82159472,227.55,32629808.0,21.8586568137501,227.5544802,7425059.0,13391.0,,,,,,,,
2003,630.0,4.03365707,220.14,33652223.0,23.563889811899,220.1384438,7408148.0,12672.0,,,,,,,,
2004,630.0,4.21159506,184.42,34713455.0,25.4147539714454,184.4205943,6401876.0,11284.0,,,,,,,,
2005,630.0,4.2174139,138.92,35796484.0,27.2686745625048,138.9185038,4972794.0,10157.0,,,,,,,,
2006,630.0,5.0134387,125.53,36904008.0,28.9830768551925,125.5252817,4632386.0,9563.0,,,,,,,,
2007,630.0,5.12358475,94.84,38036349.0,30.4153861196239,94.83510102,3607181.0,9398.0,,,,,,,,
2008,630.0,5.19050598,79.78,39206351.0,31.4230276259143,79.77661578,3127750.0,9301.0,,,,,,,,
2009,630.0,5.29172945,77.6,40408891.0,31.8603086707305,77.59614091,3135574.0,9459.0,,,,,,,,
2010,630.0,5.38849831,80.27,41598567.0,31.8713287706458,80.27255074,3339223.0,9664.0,20.996544520547946,31.78,9954.52,1631.0,72.48408561643835,2.3950342465753423,20.603133561643837,8.0
2011,630.0,5.20212841,82.58,42758461.0,31.8673949025409,82.58194793,3531077.0,10091.0,21.11463698630137,31.8,10128.09,1639.0,70.4883698630137,2.320904109589041,20.995407534246574,8.0
2012,630.0,5.0180583,84.23,43888303.0,31.8558130142761,84.2251522,3696499.0,10203.0,20.894593579234975,31.55,10281.85,1524.0,70.88697404371585,2.3776195355191256,21.215443989071037,8.0
2013,630.0,4.93100405,85.44,44986791.0,31.8324454433988,85.4403037,3843685.0,10297.0,20.876643835616438,32.24,9387.16,1526.0,72.73673287671234,2.3191883561643833,20.833880136986302,8.0
2014,630.0,4.91267347,84.43,46051440.0,31.7931545274563,84.43082344,3888161.0,10393.0,21.213996575342467,31.75,8190.24,1475.0,71.10904452054794,2.3464143835616436,20.94460616438356,8.0
2015,630.0,4.76439571,81.8,47088526.0,31.7338026039958,81.79663555,3851683.0,10423.0,21.454229452054793,31.56,10577.09,1459.0,69.56600684931506,2.379883561643836,21.347421232876712,8.0
2016,630.0,4.75429106,77.26,48139687.0,31.6502520105647,77.26122108,3719331.0,10483.0,21.358244535519127,33.48,8299.03,1252.0,70.4720150273224,2.448558743169399,20.996567622950817,8.0
2017,630.0,3.98597503,76.85,49197766.0,31.5383650847102,76.8492024,3780809.0,10664.0,21.488832191780823,32.26,10238.77,1341.0,69.34001369863013,2.5282191780821917,21.575599315068494,8.0
2018,630.0,4.09903383,74.15,50207107.0,31.3940041639796,74.1496418,3722839.0,10789.0,20.661404109589043,32.09,13427.25,1556.0,74.23308561643834,2.327876712328767,20.427794520547945,8.0
2019,630.0,4.36874676,71.67,51202827.0,31.1895566421135,71.67133565,3669775.0,10883.0,21.450825342465755,32.72,13493.26,1518.0,72.33875342465754,2.360150684931507,21.05382876712329,8.0
2020,630.0,4.49248886,85.0,52217334.0,31.2063494632616,84.99876851,4438409.0,11384.0,20.735573770491804,31.24,15782.33,1738.0,76.85331625683061,2.2811338797814207,20.52617144808743,8.0
2021,630.0,4.56992722,88.69,53219166.0,31.2879334021971,88.68703596,4719850.0,11669.0,21.031390410958906,31.76,9203.75,1408.0,71.86374657534247,2.4666575342465755,20.667804794520546,8.0
2022,630.0,4.32241869,82.09,54252461.0,31.4307820066946,82.09391795,4453797.0,11811.0,21.05320205479452,31.73,9716.21,1363.0,70.56973972602741,2.397318493150685,20.600236301369865,8.0
2023,,4.35172892,73.77,55339003.0,31.6330340816429,73.77391808,4082575.0,11478.0,21.228383561643835,31.7,13909.65,1602.0,73.20333904109589,2.369130136986301,20.846027397260276,8.0
2024,,,74.17,56432944.0,31.8937831721599,74.1683085,4185536.0,11656.0,21.35904713114754,32.32,14217.68,1589.0,75.05784494535519,2.2313900273224045,20.351051912568305,8.0
