year,agricultural_precipitation_mm,health_expenditure_pct_gdp,malaria_incidence_per_1000,population_total,urban_population_pct,estimated_incidence_per_1000_at_risk,estimated_malaria_cases,estimated_malaria_deaths,temp_mean_c,temp_max_c,precip_total_mm,precip_days,humidity_mean,wind_mean_ms,solar_mean_mj,n_cities,incidence_lag1,incidence_lag2,incidence_change,incidence_change_pct,precip_lag1,precip_lag2,temp_lag1,temp_lag2,humidity_mean_lag1,humidity_mean_lag2,precip_anomaly,temp_anomaly
2000,692.0,3.62451434,220.26,30642890.0,19.4553832211834,220.2574561,6749325.0,11766.0,,,,,,,,,,,,,,,,,,,,
2001,630.0,3.74002314,243.23,31619170.0,20.4416297068833,243.2262453,7690612.0,13613.0,,,,,,,,,220.26,,22.97,10.428584400254248,,,,,,,,
2002,630.0,3.82159472,227.55,32629808.0,21.8586568137501,227.5544802,7425059.0,13391.0,,,,,,,,,243.23,220.26,-15.679999999999978,-6.446573202318784,,,,,,,,
2003,630.0,4.03365707,220.14,33652223.0,23.563889811899,220.1384438,7408148.0,12672.0,,,,,,,,,227.55,243.23,-7.410000000000025,-3.256427158866193,,,,,,,,
2004,630.0,4.21159506,184.42,34713455.0,25.4147539714454,184.4205943,6401876.0,11284.0,,,,,,,,,220.14,227.55,-35.72,-16.226037975833563,,,,,,,,
2005,630.0,4.2174139,138.92,35796484.0,27.2686745625048,138.9185038,4972794.0,10157.0,,,,,,,,,184.42,220.14,-45.5,-24.671944474568917,,,,,,,,
2006,630.0,5.0134387,125.53,36904008.0,28.9830768551925,125.5252817,4632386.0,9563.0,,,,,,,,,138.92,184.42,-13.389999999999986,-9.638640944428435,,,,,,,,
2007,630.0,5.12358475,94.84,38036349.0,30.4153861196239,94.83510102,3607181.0,9398.0,,,,,,,,,125.53,138.92,-30.689999999999998,-24.448339042459967,,,,,,,,
2008,630.0,5.19050598,79.78,39206351.0,31.4230276259143,79.77661578,3127750.0,9301.0,,,,,,,,,94.84,125.53,-15.060000000000002,-15.879375790805572,,,,,,,,
2009,630.0,5.29172945,77.6,40408891.0,31.8603086707305,77.59614091,3135574.0,9459.0,,,,,,,,,79.78,94.84,-2.180000000000007,-2.7325144146402747,,,,,,,,
2010,630.0,5.38849831,80.27,41598567.0,31.8713287706458,80.27255074,3339223.0,9664.0,20.996544520547946,31.78,9954.52,1631.0,72.48408561643835,2.3950342465753423,20.603133561643837,8.0,77.6,79.78,2.6700000000000017,3.440721649484546,,,,,,,0.0,0.0
2011,630.0,5.20212841,82.58,42758461.0,31.8673949025409,82.58194793,3531077.0,10091.0,21.11463698630137,31.8,10128.09,1639.0,70.4883698630137,2.320904109589041,20.995407534246574,8.0,80.27,77.6,2.3100000000000023,2.8777874672978765,9954.52,,20.996544520547946,,72.48408561643835,,86.78499999999985,0.05904623287671029
2012,630.0,5.0180583,84.23,43888303.0,31.8558130142761,84.2251522,3696499.0,10203.0,20.894593579234975,31.55,10281.85,1524.0,70.88697404371585,2.3776195355191256,21.215443989071037,8.0,82.58,80.27,1.6500000000000057,1.9980624848631612,10128.09,9954.52,21.11463698630137,20.996544520547946,70.4883698630137,72.48408561643835,160.3633333333346,-0.10733144945978879
2013,630.0,4.93100405,85.44,44986791.0,31.8324454433988,85.4403037,3843685.0,10297.0,20.876643835616438,32.24,9387.16,1526.0,72.73673287671234,2.3191883561643833,20.833880136986302,8.0,84.23,82.58,1.2099999999999937,1.4365427994776025,10281.85,10128.09,20.894593579234975,21.11463698630137,70.88697404371585,70.4883698630137,-550.7450000000008,-0.09396089480874537
2014,630.0,4.91267347,84.43,46051440.0,31.7931545274563,84.43082344,3888161.0,10393.0,21.213996575342467,31.75,8190.24,1475.0,71.10904452054794,2.3464143835616436,20.94460616438356,8.0,85.44,84.23,-1.009999999999991,-1.1821161048689022,9387.16,10281.85,20.876643835616438,20.894593579234975,72.73673287671234,70.88697404371585,-1398.1319999999996,0.1947134759338276
2015,630.0,4.76439571,81.8,47088526.0,31.7338026039958,81.79663555,3851683.0,10423.0,21.454229452054793,31.56,10577.09,1459.0,69.56600684931506,2.379883561643836,21.347421232876712,8.0,84.43,85.44,-2.6300000000000097,-3.1150065142721894,8190.24,9387.16,21.213996575342467,20.876643835616438,71.10904452054794,72.73673287671234,864.2040000000015,0.34340936634478325
