year,estimated_incidence_per_1000_at_risk,estimated_malaria_cases,estimated_malaria_deaths
2000,220.2574561,6749325.0,11766.0
2001,243.2262453,7690612.0,13613.0
2002,227.5544802,7425059.0,13391.0
2003,220.1384438,7408148.0,12672.0
2004,184.4205943,6401876.0,11284.0
2005,138.9185038,4972794.0,10157.0
2006,125.5252817,4632386.0,9563.0
2007,94.83510102,3607181.0,9398.0
2008,79.77661578,3127750.0,9301.0
2009,77.59614091,3135574.0,9459.0
2010,80.27255074,3339223.0,9664.0
2011,82.58194793,3531077.0,10091.0
2012,84.2251522,3696499.0,10203.0
2013,85.4403037,3843685.0,10297.0
2014,84.43082344,3888161.0,10393.0
2015,81.79663555,3851683.0,10423.0
2016,77.26122108,3719331.0,10483.0
2017,76.8492024,3780809.0,10664.0
2018,74.1496418,3722839.0,10789.0
2019,71.67133565,3669775.0,10883.0
2020,84.99876851,4438409.0,11384.0
2021,88.68703596,4719850.0,11669.0
2022,82.09391795,4453797.0,11811.0
2023,73.77391808,4082575.0,11478.0
2024,74.1683085,4185536.0,11656.0
