country,iso3,year,indicator,value
Kenya,KEN,2024,malaria_incidence_per_1000,74.17
Kenya,KEN,2023,malaria_incidence_per_1000,73.77
Kenya,KEN,2022,malaria_incidence_per_1000,82.09
Kenya,KEN,2021,malaria_incidence_per_1000,88.69
Kenya,KEN,2020,malaria_incidence_per_1000,85.0
Kenya,KEN,2019,malaria_incidence_per_1000,71.67
Kenya,KEN,2018,malaria_incidence_per_1000,74.15
Kenya,KEN,2017,malaria_incidence_per_1000,76.85
Kenya,KEN,2016,malaria_incidence_per_1000,77.26
Kenya,KEN,2015,malaria_incidence_per_1000,81.8
Kenya,KEN,2014,malaria_incidence_per_1000,84.43
Kenya,KEN,2013,malaria_incidence_per_1000,85.44
Kenya,KEN,2012,malaria_incidence_per_1000,84.23
Kenya,KEN,2011,malaria_incidence_per_1000,82.58
Kenya,KEN,2010,malaria_incidence_per_1000,80.27
Kenya,KEN,2009,malaria_incidence_per_1000,77.6
Kenya,KEN,2008,malaria_incidence_per_1000,79.78
Kenya,KEN,2007,malaria_incidence_per_1000,94.84
Kenya,KEN,2006,malaria_incidence_per_1000,125.53
Kenya,KEN,2005,malaria_incidence_per_1000,138.92
Kenya,KEN,2004,malaria_incidence_per_1000,184.42
Kenya,KEN,2003,malaria_incidence_per_1000,220.14
Kenya,KEN,2002,malaria_incidence_per_1000,227.55
Kenya,KEN,2001,malaria_incidence_per_1000,243.23
Kenya,KEN,2000,malaria_incidence_per_1000,220.26
Burundi,BDI,2024,malaria_incidence_per_1000,314.9
Burundi,BDI,2023,malaria_incidence_per_1000,323.25
Burundi,BDI,2022,malaria_incidence_per_1000,342.31
Burundi,BDI,2021,malaria_incidence_per_1000,349.97
Burundi,BDI,2020,malaria_incidence_per_1000,345.14
Burundi,BDI,2019,malaria_incidence_per_1000,345.28
Burundi,BDI,2018,malaria_incidence_per_1000,350.82
Burundi,BDI,2017,malaria_incidence_per_1000,346.29
Burundi,BDI,2016,malaria_incidence_per_1000,321.3
Burundi,BDI,2015,malaria_incidence_per_1000,285.0
Burundi,BDI,2014,malaria_incidence_per_1000,250.86
Burundi,BDI,2013,malaria_incidence_per_1000,234.96
Burundi,BDI,2012,malaria_incidence_per_1000,232.24
Burundi,BDI,2011,malaria_incidence_per_1000,245.35
Burundi,BDI,2010,malaria_incidence_per_1000,259.34
Burundi,BDI,2009,malaria_incidence_per_1000,281.56
Burundi,BDI,2008,malaria_incidence_per_1000,288.77
Burundi,BDI,2007,malaria_incidence_per_1000,287.94
Burundi,BDI,2006,malaria_incidence_per_1000,287.78
Burundi,BDI,2005,malaria_incidence_per_1000,284.48
Burundi,BDI,2004,malaria_incidence_per_1000,295.97
Burundi,BDI,2003,malaria_incidence_per_1000,343.45
Burundi,BDI,2002,malaria_incidence_per_1000,388.13
Burundi,BDI,2001,malaria_incidence_per_1000,416.12
Burundi,BDI,2000,malaria_incidence_per_1000,427.48
Ethiopia,ETH,2024,malaria_incidence_per_1000,138.5
Ethiopia,ETH,2023,malaria_incidence_per_1000,109.24
Ethiopia,ETH,2022,malaria_incidence_per_1000,59.89
Ethiopia,ETH,2021,malaria_incidence_per_1000,45.56
Ethiopia,ETH,2020,malaria_incidence_per_1000,52.28
Ethiopia,ETH,2019,malaria_incidence_per_1000,33.61
Ethiopia,ETH,2018,malaria_incidence_per_1000,36.46
Ethiopia,ETH,2017,malaria_incidence_per_1000,70.71
Ethiopia,ETH,2016,malaria_incidence_per_1000,92.89
Ethiopia,ETH,2015,malaria_incidence_per_1000,130.06
Ethiopia,ETH,2014,malaria_incidence_per_1000,144.07
Ethiopia,ETH,2013,malaria_incidence_per_1000,184.1
Ethiopia,ETH,2012,malaria_incidence_per_1000,159.67
