year,agricultural_precipitation_mm,health_expenditure_pct_gdp,malaria_incidence_per_1000,population_total,urban_population_pct
2000,692.0,3.62451434,220.26,30642890.0,19.4553832211834
2001,630.0,3.74002314,243.23,31619170.0,20.4416297068833
2002,630.0,3.82159472,227.55,32629808.0,21.8586568137501
2003,630.0,4.03365707,220.14,33652223.0,23.563889811899
2004,630.0,4.21159506,184.42,34713455.0,25.4147539714454
2005,630.0,4.2174139,138.92,35796484.0,27.2686745625048
2006,630.0,5.0134387,125.53,36904008.0,28.9830768551925
2007,630.0,5.12358475,94.84,38036349.0,30.4153861196239
2008,630.0,5.19050598,79.78,39206351.0,31.4230276259143
2009,630.0,5.29172945,77.6,40408891.0,31.8603086707305
2010,630.0,5.38849831,80.27,41598567.0,31.8713287706458
2011,630.0,5.20212841,82.58,42758461.0,31.8673949025409
2012,630.0,5.0180583,84.23,43888303.0,31.8558130142761
2013,630.0,4.93100405,85.44,44986791.0,31.8324454433988
2014,630.0,4.91267347,84.43,46051440.0,31.7931545274563
2015,630.0,4.76439571,81.8,47088526.0,31.7338026039958
2016,630.0,4.75429106,77.26,48139687.0,31.6502520105647
2017,630.0,3.98597503,76.85,49197766.0,31.5383650847102
2018,630.0,4.09903383,74.15,50207107.0,31.3940041639796
2019,630.0,4.36874676,71.67,51202827.0,31.1895566421135
2020,630.0,4.49248886,85.0,52217334.0,31.2063494632616
2021,630.0,4.56992722,88.69,53219166.0,31.2879334021971
2022,630.0,4.32241869,82.09,54252461.0,31.4307820066946
2023,,4.35172892,73.77,55339003.0,31.6330340816429
2024,,,74.17,56432944.0,31.8937831721599
